Ticker,Avg Volatility,Volatility Percentage
TRENT,0.4327193512829128,43.271935128291275
BEL,0.2357990454122242,23.579904541222422
BAJAJ-AUTO,0.2167251530334623,21.67251530334623
M&M,0.2090560917164697,20.90560917164697
BPCL,0.1880915874359763,18.809158743597628
BHARTIARTL,0.1683887437754733,16.83887437754733
ADANIPORTS,0.1645504699961148,16.45504699961148
NTPC,0.1637803238013014,16.37803238013014
SHRIRAMFIN,0.1607164954644789,16.07164954644789
HEROMOTOCO,0.149969790085392,14.9969790085392
